,Date,Open,High,Low,Close,Volume
1432,2005-09-13,2484.0,2503.0,2477.1,2500.35,54880639.0
1433,2005-09-14,2500.4,2514.75,2476.0,2492.45,82087707.0
1434,2005-09-15,2492.85,2527.5,2492.75,2523.95,62944965.0
1435,2005-09-16,2524.9,2555.1,2519.05,2552.35,63656466.0
1436,2005-09-19,2555.45,2579.7,2550.45,2567.1,63880908.0
1437,2005-09-20,2567.2,2582.8,2546.6,2578.0,77237821.0
1438,2005-09-21,2576.7,2585.6,2504.9,2567.3,108694906.0
1439,2005-09-22,2567.85,2580.4,2465.85,2476.5,103320451.0
1440,2005-09-23,2480.5,2507.9,2453.05,2477.75,84222865.0
1441,2005-09-26,2477.85,2560.85,2477.85,2557.35,61924057.0
1442,2005-09-27,2558.5,2592.5,2549.85,2574.85,80835742.0
1443,2005-09-28,2574.45,2602.95,2559.85,2598.05,75639565.0
1444,2005-09-29,2598.6,2633.9,2589.45,2611.2,118315309.0
1445,2005-09-30,2607.9,2623.05,2567.75,2601.4,88155803.0
1446,2005-10-03,2601.0,2635.0,2597.2,2630.05,64623105.0
1447,2005-10-04,2630.0,2667.05,2629.6,2663.35,76746128.0
1448,2005-10-05,2663.7,2669.2,2636.6,2644.4,87711982.0
1449,2005-10-06,2643.8,2643.8,2571.3,2579.15,107136584.0
1450,2005-10-07,2577.2,2603.25,2547.55,2574.05,92769893.0
1451,2005-10-10,2577.1,2595.15,2561.0,2566.85,61304701.0
1452,2005-10-11,2569.15,2592.0,2533.7,2589.55,71470357.0
1453,2005-10-13,2584.4,2589.35,2529.05,2537.3,95738560.0
1454,2005-10-14,2537.7,2548.0,2478.0,2484.4,91435384.0
1455,2005-10-17,2488.4,2498.6,2459.5,2485.15,76999001.0
1456,2005-10-18,2485.25,2517.7,2452.5,2468.2,77318585.0
1457,2005-10-19,2467.8,2467.85,2394.95,2412.45,93293821.0
1458,2005-10-20,2421.4,2463.85,2363.55,2395.45,114276924.0
1459,2005-10-21,2397.85,2447.85,2384.05,2443.75,97458038.0
1460,2005-10-24,2444.2,2460.0,2388.4,2394.85,80236463.0
1461,2005-10-25,2394.95,2444.6,2390.85,2418.2,85086738.0
1462,2005-10-26,2418.45,2434.0,2401.1,2408.5,91104303.0
1463,2005-10-27,2408.95,2416.45,2338.6,2352.9,125291990.0
1464,2005-10-28,2352.65,2355.15,2307.45,2316.05,84569727.0
1465,2005-10-31,2314.85,2373.4,2314.2,2370.95,69796263.0
1466,2005-11-01,2366.8,2410.15,2366.8,2386.75,18746555.0
1467,2005-11-02,2386.45,2423.8,2367.75,2419.05,82540716.0
1468,2005-11-07,2419.25,2464.65,2411.6,2461.6,79272406.0
1469,2005-11-08,2463.65,2502.9,2460.0,2492.65,79715915.0
1470,2005-11-09,2493.1,2519.4,2475.7,2489.1,73896105.0
1471,2005-11-10,2489.1,2504.75,2480.85,2500.7,64917294.0
1472,2005-11-11,2500.85,2551.4,2500.85,2548.65,72465029.0
1473,2005-11-14,2548.55,2576.95,2534.4,2558.7,70311886.0
1474,2005-11-16,2559.45,2585.95,2559.45,2582.75,59709061.0
1475,2005-11-17,2558.45,2608.85,2558.45,2603.95,66443810.0
1476,2005-11-18,2604.0,2632.35,2595.15,2620.05,81690974.0
1477,2005-11-21,2620.1,2626.4,2591.75,2602.5,74794904.0
1478,2005-11-22,2603.25,2614.0,2567.05,2572.85,67631761.0
1479,2005-11-23,2572.85,2613.4,2563.1,2608.6,70840659.0
1480,2005-11-24,2608.9,2643.7,2608.7,2635.0,98400541.0
1481,2005-11-25,2635.35,2668.9,2633.75,2664.3,74964394.0
1482,2005-11-26,2664.85,2686.5,2664.7,2683.45,25534972.0
1483,2005-11-28,2683.6,2717.15,2682.65,2712.0,83653385.0
1484,2005-11-29,2712.35,2713.9,2679.9,2698.3,78581982.0
1485,2005-11-30,2698.1,2727.05,2647.1,2652.25,82029860.0
1486,2005-12-01,2651.6,2705.0,2641.95,2698.95,74048315.0
1487,2005-12-02,2699.55,2730.7,2691.5,2697.95,79794777.0
1488,2005-12-05,2697.6,2710.65,2654.35,2660.5,62679907.0
1489,2005-12-06,2661.4,2694.4,2647.35,2662.3,56613837.0
1490,2005-12-07,2662.3,2697.1,2662.3,2693.0,66551374.0
1491,2005-12-08,2694.95,2711.6,2673.5,2706.7,70166907.0
1492,2005-12-09,2706.75,2761.1,2698.0,2756.45,76475444.0
1493,2005-12-12,2756.4,2789.35,2756.4,2776.2,75289837.0
1494,2005-12-13,2776.8,2815.3,2764.65,2812.3,93127558.0
1495,2005-12-14,2812.8,2825.65,2788.3,2804.55,122645697.0
